2025-08-11 10:45:22 | INFO     | src.database.connection:_initialize_engine:68 | Database engine initialized with URL: sqlite:///./data/workflow_agent.db
2025-08-11 10:45:22 | INFO     | __main__:main:22 | Starting database initialization...
2025-08-11 10:45:22 | ERROR    | src.database.connection:create_tables:82 | Failed to create database tables: Attribute name 'metadata' is reserved when using the Declarative API.
2025-08-11 10:45:22 | ERROR    | src.database.connection:init_database:134 | Database initialization failed: Attribute name 'metadata' is reserved when using the Declarative API.
2025-08-11 10:45:22 | ERROR    | __main__:main:26 | Database initialization failed: Attribute name 'metadata' is reserved when using the Declarative API.
2025-08-11 10:46:15 | INFO     | src.database.connection:_initialize_engine:68 | Database engine initialized with URL: sqlite:///./data/workflow_agent.db
2025-08-11 10:46:15 | INFO     | __main__:main:22 | Starting database initialization...
2025-08-11 10:46:15 | INFO     | src.database.connection:create_tables:80 | Database tables created successfully
2025-08-11 10:46:15 | INFO     | src.database.connection:_create_initial_data:186 | Initial data created successfully
2025-08-11 10:46:15 | INFO     | src.database.connection:init_database:132 | Database initialization completed successfully
2025-08-11 10:46:15 | INFO     | __main__:main:24 | Database initialization completed successfully!
2025-08-11 10:57:56 | INFO     | src.database.connection:_initialize_engine:68 | Database engine initialized with URL: sqlite:///./data/workflow_agent.db
2025-08-11 10:59:43 | INFO     | src.database.connection:_initialize_engine:68 | Database engine initialized with URL: sqlite:///./data/workflow_agent.db
2025-08-11 11:00:50 | INFO     | src.database.connection:_initialize_engine:68 | Database engine initialized with URL: sqlite:///./data/workflow_agent.db
2025-08-11 11:00:54 | WARNING  | src.nlp.text_processor:_load_spacy_model:72 | spaCy model 'en_core_web_sm' not found. Some features may be limited.
2025-08-11 11:00:54 | INFO     | __main__:test_classification_accuracy:184 | Starting classification accuracy testing...
2025-08-11 11:00:54 | WARNING  | src.nlp.text_processor:_load_spacy_model:72 | spaCy model 'en_core_web_sm' not found. Some features may be limited.
2025-08-11 11:00:54 | INFO     | __main__:test_classification_accuracy:191 | Generated 21 test cases
2025-08-11 11:00:54 | INFO     | __main__:test_classification_accuracy:201 | Testing rule_based strategy...
2025-08-11 11:00:54 | INFO     | src.core.classification:classify:142 | Classifying text using rule_based strategy
2025-08-11 11:00:54 | INFO     | src.core.classification:classify:142 | Classifying text using rule_based strategy
2025-08-11 11:00:54 | INFO     | src.core.classification:classify:142 | Classifying text using rule_based strategy
2025-08-11 11:00:54 | INFO     | src.core.classification:classify:142 | Classifying text using rule_based strategy
2025-08-11 11:00:54 | INFO     | src.core.classification:classify:142 | Classifying text using rule_based strategy
